! Initial radius: 1.0000E+00 AU
! Number of timesteps:     499
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -7.233816267E+05   1.000000000E+00   0.000000000E+00   5.904045122E+03   1.327731544E+01   1.327731544E+01   3.883554991E+00   7.775821042E+00
  -7.214159157E+05   1.000000000E+00   0.000000000E+00   5.934404645E+03   1.326513167E+01   1.326513167E+01   3.891173536E+00   7.791100198E+00
  -7.194502048E+05   1.000000000E+00   0.000000000E+00   5.964920282E+03   1.325295266E+01   1.325295266E+01   3.898807027E+00   7.806409378E+00
  -7.174844939E+05   1.000000000E+00   0.000000000E+00   5.995592834E+03   1.324077852E+01   1.324077852E+01   3.906455492E+00   7.821748639E+00
  -7.155187829E+05   1.000000000E+00   0.000000000E+00   6.026423110E+03   1.322860932E+01   1.322860932E+01   3.914118963E+00   7.837118041E+00
  -7.135530720E+05   1.000000000E+00   0.000000000E+00   6.057411920E+03   1.321644516E+01   1.321644516E+01   3.921797466E+00   7.852517644E+00
  -7.115873610E+05   1.000000000E+00   0.000000000E+00   6.088560079E+03   1.320428612E+01   1.320428612E+01   3.929491033E+00   7.867947506E+00
  -7.096216501E+05   1.000000000E+00   0.000000000E+00   6.119868407E+03   1.319213230E+01   1.319213230E+01   3.937199693E+00   7.883407687E+00
  -7.076559391E+05   1.000000000E+00   0.000000000E+00   6.151337727E+03   1.317998378E+01   1.317998378E+01   3.944923475E+00   7.898898247E+00
  -7.056902282E+05   1.000000000E+00   0.000000000E+00   6.182968868E+03   1.316784066E+01   1.316784066E+01   3.952662410E+00   7.914419245E+00
  -7.037245173E+05   1.000000000E+00   0.000000000E+00   6.214762660E+03   1.315570302E+01   1.315570302E+01   3.960416526E+00   7.929970741E+00
  -7.017588063E+05   1.000000000E+00   0.000000000E+00   6.246719942E+03   1.314357096E+01   1.314357096E+01   3.968185854E+00   7.945552795E+00
  -6.997930954E+05   1.000000000E+00   0.000000000E+00   6.278841552E+03   1.313144456E+01   1.313144456E+01   3.975970423E+00   7.961165468E+00
  -6.978273844E+05   1.000000000E+00   0.000000000E+00   6.311128337E+03   1.311932391E+01   1.311932391E+01   3.983770264E+00   7.976808818E+00
  -6.958616735E+05   1.000000000E+00   0.000000000E+00   6.343581146E+03   1.310720912E+01   1.310720912E+01   3.991585406E+00   7.992482907E+00
  -6.938959626E+05   1.000000000E+00   0.000000000E+00   6.376200832E+03   1.309510026E+01   1.309510026E+01   3.999415879E+00   8.008187795E+00
  -6.919302516E+05   1.000000000E+00   0.000000000E+00   6.408988254E+03   1.308299743E+01   1.308299743E+01   4.007261713E+00   8.023923543E+00
  -6.899645407E+05   1.000000000E+00   0.000000000E+00   6.441944274E+03   1.307090072E+01   1.307090072E+01   4.015122939E+00   8.039690210E+00
  -6.879988297E+05   1.000000000E+00   0.000000000E+00   6.475069758E+03   1.305881023E+01   1.305881023E+01   4.022999587E+00   8.055487858E+00
  -6.860331188E+05   1.000000000E+00   0.000000000E+00   6.508365579E+03   1.304672604E+01   1.304672604E+01   4.030891687E+00   8.071316548E+00
  -6.840674078E+05   1.000000000E+00   0.000000000E+00   6.541832613E+03   1.303464826E+01   1.303464826E+01   4.038799269E+00   8.087176341E+00
  -6.821016969E+05   1.000000000E+00   0.000000000E+00   6.575471739E+03   1.302257696E+01   1.302257696E+01   4.046722364E+00   8.103067297E+00
  -6.801359860E+05   1.000000000E+00   0.000000000E+00   6.609283843E+03   1.301051226E+01   1.301051226E+01   4.054661002E+00   8.118989479E+00
  -6.781702750E+05   1.000000000E+00   0.000000000E+00   6.643269814E+03   1.299845423E+01   1.299845423E+01   4.062615213E+00   8.134942947E+00
  -6.762045641E+05   1.000000000E+00   0.000000000E+00   6.677430546E+03   1.298640298E+01   1.298640298E+01   4.070585029E+00   8.150927763E+00
  -6.742388531E+05   1.000000000E+00   0.000000000E+00   6.711766938E+03   1.297435859E+01   1.297435859E+01   4.078570479E+00   8.166943988E+00
  -6.722731422E+05   1.000000000E+00   0.000000000E+00   6.746279893E+03   1.296232117E+01   1.296232117E+01   4.086571595E+00   8.182991684E+00
  -6.703074312E+05   1.000000000E+00   0.000000000E+00   6.780970319E+03   1.295029080E+01   1.295029080E+01   4.094588407E+00   8.199070914E+00
  -6.683417203E+05   1.000000000E+00   0.000000000E+00   6.815839128E+03   1.293826759E+01   1.293826759E+01   4.102620946E+00   8.215181738E+00
  -6.663760094E+05   1.000000000E+00   0.000000000E+00   6.850887239E+03   1.292625162E+01   1.292625162E+01   4.110669242E+00   8.231324220E+00
  -6.644102984E+05   1.000000000E+00   0.000000000E+00   6.886115572E+03   1.291424300E+01   1.291424300E+01   4.118733328E+00   8.247498421E+00
  -6.624445875E+05   1.000000000E+00   0.000000000E+00   6.921525055E+03   1.290224182E+01   1.290224182E+01   4.126813233E+00   8.263704403E+00
