Nsteps =      412
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  6.4907497E+05  1.0000000E+04  9.9350916E+00  1.1933995E+01  6.6662123E+00
0.0000000E+00  6.5177771E+05  1.0000000E+04  9.9479012E+00  1.1932269E+01  6.6918882E+00
0.0000000E+00  6.5448044E+05  1.0000000E+04  9.9603352E+00  1.1930601E+01  6.7175642E+00
0.0000000E+00  6.5718318E+05  1.0000000E+04  9.9726525E+00  1.1928956E+01  6.7432402E+00
0.0000000E+00  6.5988591E+05  1.0000000E+04  9.9848607E+00  1.1927332E+01  6.7689162E+00
0.0000000E+00  6.6258865E+05  1.0000000E+04  9.9969614E+00  1.1925729E+01  6.7945921E+00
0.0000000E+00  6.6529138E+05  1.0000000E+04  1.0008956E+01  1.1924147E+01  6.8202681E+00
0.0000000E+00  6.6799412E+05  1.0000000E+04  1.0020903E+01  1.1922586E+01  6.8459441E+00
0.0000000E+00  6.7069685E+05  1.0000000E+04  1.0032756E+01  1.1921045E+01  6.8716201E+00
0.0000000E+00  6.7339959E+05  1.0000000E+04  1.0044506E+01  1.1919523E+01  6.8972961E+00
0.0000000E+00  6.7610232E+05  1.0000000E+04  1.0056155E+01  1.1918021E+01  6.9229721E+00
