! Nsteps =   422   
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.000E+00  7.151E+05  1.000E+04  1.017E+01  1.190E+01  7.179E+00
0.000E+00  7.177E+05  1.000E+04  1.018E+01  1.190E+01  7.205E+00
0.000E+00  7.203E+05  1.000E+04  1.019E+01  1.190E+01  7.231E+00
0.000E+00  7.229E+05  1.000E+04  1.020E+01  1.190E+01  7.256E+00
0.000E+00  7.255E+05  1.000E+04  1.021E+01  1.190E+01  7.282E+00
0.000E+00  7.280E+05  1.000E+04  1.022E+01  1.190E+01  7.308E+00
0.000E+00  7.306E+05  1.000E+04  1.023E+01  1.190E+01  7.333E+00
0.000E+00  7.332E+05  1.000E+04  1.024E+01  1.190E+01  7.359E+00
0.000E+00  7.358E+05  1.000E+04  1.025E+01  1.189E+01  7.385E+00
0.000E+00  7.384E+05  1.000E+04  1.026E+01  1.189E+01  7.410E+00
0.000E+00  7.410E+05  1.000E+04  1.027E+01  1.189E+01  7.436E+00
0.000E+00  7.436E+05  1.000E+04  1.028E+01  1.189E+01  7.462E+00
0.000E+00  7.462E+05  1.000E+04  1.029E+01  1.189E+01  7.487E+00
0.000E+00  7.488E+05  1.000E+04  1.030E+01  1.189E+01  7.513E+00
0.000E+00  7.514E+05  1.000E+04  1.031E+01  1.189E+01  7.538E+00
0.000E+00  7.539E+05  1.000E+04  1.032E+01  1.189E+01  7.564E+00
0.000E+00  7.565E+05  1.000E+04  1.033E+01  1.188E+01  7.590E+00
0.000E+00  7.591E+05  1.000E+04  1.034E+01  1.188E+01  7.615E+00
0.000E+00  7.617E+05  1.000E+04  1.035E+01  1.188E+01  7.641E+00
0.000E+00  7.643E+05  1.000E+04  1.036E+01  1.188E+01  7.667E+00
0.000E+00  7.669E+05  1.000E+04  1.036E+01  1.188E+01  7.692E+00
0.000E+00  7.695E+05  1.000E+04  1.037E+01  1.188E+01  7.718E+00
0.000E+00  7.721E+05  1.000E+04  1.038E+01  1.188E+01  7.744E+00
0.000E+00  7.747E+05  1.000E+04  1.039E+01  1.188E+01  7.769E+00
0.000E+00  7.773E+05  1.000E+04  1.040E+01  1.188E+01  7.795E+00
0.000E+00  7.798E+05  1.000E+04  1.041E+01  1.188E+01  7.821E+00
0.000E+00  7.824E+05  1.000E+04  1.042E+01  1.187E+01  7.846E+00
0.000E+00  7.850E+05  1.000E+04  1.043E+01  1.187E+01  7.872E+00
0.000E+00  7.876E+05  1.000E+04  1.044E+01  1.187E+01  7.897E+00
0.000E+00  7.902E+05  1.000E+04  1.044E+01  1.187E+01  7.923E+00
0.000E+00  7.928E+05  1.000E+04  1.045E+01  1.187E+01  7.949E+00
0.000E+00  7.954E+05  1.000E+04  1.046E+01  1.187E+01  7.974E+00
0.000E+00  7.980E+05  1.000E+04  1.047E+01  1.187E+01  8.000E+00
0.000E+00  8.006E+05  1.000E+04  1.048E+01  1.187E+01  8.025E+00
0.000E+00  8.031E+05  1.000E+04  1.049E+01  1.187E+01  8.051E+00
0.000E+00  8.057E+05  1.000E+04  1.049E+01  1.187E+01  8.076E+00
